code,year,AI,Data,Info,Comm,length,DT_Index,name
603019,2024,26,66,2,0,16951,0.713971556695347,中科曙光
872808,2024,10,170,5,1,21960,2.2366774912108025,曙光数创
300353,2024,147,28,22,19,32570,6.208709116412815,东土科技
000063,2024,32,42,2,4,33933,0.5703184876089886,中兴通讯
688041,2024,37,20,4,0,24071,0.5941222112129245,海光信息
300437,2023,13,1,1,8,23689,-0.5993658840594493,清水源
300437,2022,16,3,0,13,23608,-0.5618606701701057,清水源
300437,2018,5,0,0,0,22094,-1.0588654300269174,清水源
300437,2017,5,0,1,0,23397,-0.9245400702819575,清水源
300437,2021,31,4,1,12,30622,-0.03992106528441061,清水源
300437,2020,25,0,1,7,27607,-0.3181723201370886,清水源
300437,2019,0,0,0,1,25755,-1.1744819267343738,清水源
300437,2016,2,0,2,0,24331,-0.8674337956513832,清水源
600506,2024,4,26,0,5,25832,-0.6395744832972557,统一股份
001207,2024,1,0,2,0,23256,-0.8931734906895117,联科科技
002138,2024,8,9,0,0,21863,-0.85023916244458,顺络电子
605077,2024,4,2,3,7,23855,-0.5608536003438768,华康股份
300842,2024,0,0,0,0,29684,-1.1875639052175595,帝科股份
002162,2024,18,7,2,4,20510,-0.3010651747446225,悦心健康
603009,2024,13,1,2,0,17333,-0.5696963521799757,北特科技
688082,2024,10,8,1,0,38812,-0.6790352106753582,盛美上海
002675,2024,16,2,8,1,33040,0.3411576679393482,东诚药业
603196,2024,6,24,3,17,17495,-0.05733686829187965,日播时尚
301522,2024,1,0,3,0,23945,-0.7588481309445518,上大股份
600535,2024,55,41,4,5,38594,1.429463373407053,天士力
300708,2024,13,3,9,1,44969,0.41286474062191725,聚灿光电
688100,2024,59,119,14,2,41096,3.97529206361519,威胜信息
002271,2024,32,9,2,12,64292,0.1931479797586511,东方雨虹
600299,2024,10,8,3,4,34298,-0.35805657725269563,安迪苏
300632,2023,26,20,3,2,31569,0.2028241630149236,光莆股份
300632,2022,14,21,3,0,30831,-0.11761533635699438,光莆股份
002097,2023,22,21,7,2,19915,0.6517676198942434,山河智能
002097,2021,12,11,3,12,24817,-0.15811896515496854,山河智能
002097,2020,8,5,3,5,14204,-0.4402563830017507,山河智能
002097,2022,0,0,0,0,0,-1.1875639052175595,山河智能
002825,2023,2,9,1,0,16645,-0.870351972928391,纳尔股份
002413,2023,58,5,7,0,20015,1.3186199154685807,雷科防务
603839,2023,3,5,0,63,20798,-0.21317618540249708,安正时尚
600165,2022,8,0,0,0,20259,-0.981646344912532,*ST宁科
600165,2023,5,0,0,0,19424,-1.0588654300269174,*ST宁科
002808,2022,12,32,14,4,28635,1.52142092326599,ST恒久
002808,2021,7,28,18,5,30538,1.884702673330394,ST恒久
002808,2019,0,0,0,0,18603,-1.1875639052175595,ST恒久
002808,2023,7,9,5,1,22758,-0.19127008027472409,ST恒久
002388,2023,12,2,3,0,29418,-0.44650988942114983,新亚制程
002569,2019,0,0,0,0,13438,-1.1875639052175595,ST步森
002569,2020,0,0,0,0,11573,-1.1875639052175595,ST步森
300224,2023,8,5,2,1,19189,-0.6269096566794534,正海磁材
